"Freq","Cumul","relative","phastCons","Type","GeneSet"
401,74110,0.278272166775557,"0.0390000008046627","exons","Universal"
380,74490,0.279699010971681,"0.0399999991059303","exons","Universal"
394,74884,0.281178423111872,"0.0410000011324883","exons","Universal"
345,75229,0.282473847447826,"0.0419999994337559","exons","Universal"
350,75579,0.283788046049519,"0.0430000014603138","exons","Universal"
314,75893,0.284967069937895,"0.0439999997615814","exons","Universal"
320,76213,0.286168622945157,"0.0450000017881393","exons","Universal"
260,76473,0.287144884763557,"0.046000000089407","exons","Universal"
299,76772,0.288267585854717,"0.0469999983906746","exons","Universal"
265,77037,0.289262621938856,"0.0480000004172325","exons","Universal"
318,77355,0.290456665239822,"0.0489999987185001","exons","Universal"
242,77597,0.291365339701564,"0.0500000007450581","exons","Universal"
261,77858,0.292345356373112,"0.0509999990463257","exons","Universal"
296,78154,0.29345679290483,"0.0520000010728836","exons","Universal"
235,78389,0.294339183394537,"0.0529999993741512","exons","Universal"
242,78631,0.295247857856279,"0.0540000014007092","exons","Universal"
292,78923,0.296344274975406,"0.0549999997019768","exons","Universal"
225,79148,0.297189116933637,"0.0560000017285347","exons","Universal"
213,79361,0.297988900654095,"0.0570000000298023","exons","Universal"
239,79600,0.298886310556394,"0.0579999983310699","exons","Universal"
232,79832,0.299757436486659,"0.0590000003576279","exons","Universal"
237,80069,0.300647336682662,"0.0599999986588955","exons","Universal"
163,80232,0.301259377745736,"0.0610000006854534","exons","Universal"
234,80466,0.302138013382297,"0.061999998986721","exons","Universal"
206,80672,0.302911513130721,"0.063000001013279","exons","Universal"
193,80865,0.303636199788226,"0.0640000030398369","exons","Universal"
231,81096,0.304503570865343,"0.0649999976158142","exons","Universal"
208,81304,0.305284580320064,"0.0659999996423721","exons","Universal"
157,81461,0.305874092264252,"0.0670000016689301","exons","Universal"
185,81646,0.306568740096575,"0.068000003695488","exons","Universal"
234,81880,0.307447375733135,"0.0689999982714653","exons","Universal"
190,82070,0.308160797831197,"0.0700000002980232","exons","Universal"
182,82252,0.308844181104077,"0.0710000023245811","exons","Universal"
174,82426,0.309497525551776,"0.0719999969005585","exons","Universal"
154,82580,0.31007577293652,"0.0729999989271164","exons","Universal"
137,82717,0.310590187817754,"0.0740000009536743","exons","Universal"
164,82881,0.311205983733976,"0.0750000029802322","exons","Universal"
163,83044,0.31181802479705,"0.0759999975562096","exons","Universal"
177,83221,0.312482633804192,"0.0769999995827675","exons","Universal"
149,83370,0.313042106923198,"0.0780000016093254","exons","Universal"
172,83542,0.313687941664602,"0.0790000036358833","exons","Universal"
151,83693,0.314254924489903,"0.0799999982118607","exons","Universal"
144,83837,0.314795623343171,"0.0810000002384186","exons","Universal"
123,83960,0.315257470280337,"0.0820000022649765","exons","Universal"
189,84149,0.315967137525251,"0.0829999968409538","exons","Universal"
182,84331,0.316650520798132,"0.0839999988675117","exons","Universal"
159,84490,0.317247542448615,"0.0850000008940697","exons","Universal"
159,84649,0.317844564099098,"0.0860000029206276","exons","Universal"
144,84793,0.318385262952366,"0.0869999974966049","exons","Universal"
159,84952,0.318982284602849,"0.0879999995231628","exons","Universal"
144,85096,0.319522983456117,"0.0890000015497208","exons","Universal"
134,85230,0.320026133777908,"0.0900000035762787","exons","Universal"
120,85350,0.320476716155631,"0.090999998152256","exons","Universal"
133,85483,0.320976111624274,"0.0920000001788139","exons","Universal"
123,85606,0.321437958561441,"0.0930000022053719","exons","Universal"
139,85745,0.32195988314897,"0.0939999967813492","exons","Universal"
98,85843,0.322327858757444,"0.0949999988079071","exons","Universal"
142,85985,0.322861047904416,"0.096000000834465","exons","Universal"
132,86117,0.323356688519912,"0.0970000028610229","exons","Universal"
123,86240,0.323818535457078,"0.0979999974370003","exons","Universal"
118,86358,0.324261608128506,"0.0989999994635582","exons","Universal"
119,86477,0.324708435653082,"0.100000001490116","exons","Universal"
93,86570,0.325057636995817,"0.101000003516674","exons","Universal"
115,86685,0.325489445107802,"0.101999998092651","exons","Universal"
124,86809,0.325955046898116,"0.103000000119209","exons","Universal"
94,86903,0.326308003093999,"0.104000002145767","exons","Universal"
97,87000,0.326672223849325,"0.104999996721745","exons","Universal"
124,87124,0.327137825639639,"0.105999998748302","exons","Universal"
107,87231,0.327539594926442,"0.10700000077486","exons","Universal"
120,87351,0.327990177304166,"0.108000002801418","exons","Universal"
88,87439,0.328320604381163,"0.108999997377396","exons","Universal"
86,87525,0.328643521751864,"0.109999999403954","exons","Universal"
91,87616,0.328985213388304,"0.111000001430511","exons","Universal"
73,87689,0.329259317668086,"0.112000003457069","exons","Universal"
99,87788,0.329631048129708,"0.112999998033047","exons","Universal"
107,87895,0.330032817416511,"0.114000000059605","exons","Universal"
110,88005,0.330445851262757,"0.115000002086163","exons","Universal"
101,88106,0.330825091430674,"0.11599999666214","exons","Universal"
100,88206,0.331200576745444,"0.116999998688698","exons","Universal"
83,88289,0.331512229556702,"0.118000000715256","exons","Universal"
99,88388,0.331883960018324,"0.119000002741814","exons","Universal"
120,88508,0.332334542396047,"0.119999997317791","exons","Universal"
98,88606,0.332702518004521,"0.120999999344349","exons","Universal"
75,88681,0.332984131990598,"0.122000001370907","exons","Universal"
84,88765,0.333299539655004,"0.123000003397465","exons","Universal"
136,88901,0.33381019968309,"0.123999997973442","exons","Universal"
82,88983,0.334118097641201,"0.125","exons","Universal"
88,89071,0.334448524718198,"0.126000002026558","exons","Universal"
76,89147,0.334733893557423,"0.127000004053116","exons","Universal"
74,89221,0.335011752690352,"0.128000006079674","exons","Universal"
102,89323,0.335394747711417,"0.12899999320507","exons","Universal"
70,89393,0.335657587431756,"0.129999995231628","exons","Universal"
94,89487,0.336010543627639,"0.130999997258186","exons","Universal"
62,89549,0.336243344522796,"0.131999999284744","exons","Universal"
73,89622,0.336517448802577,"0.133000001311302","exons","Universal"
73,89695,0.336791553082359,"0.13400000333786","exons","Universal"
65,89760,0.337035618536959,"0.135000005364418","exons","Universal"
84,89844,0.337351026201365,"0.136000007390976","exons","Universal"
105,89949,0.337745285781873,"0.136999994516373","exons","Universal"
75,90024,0.33802689976795,"0.137999996542931","exons","Universal"
68,90092,0.338282229781993,"0.138999998569489","exons","Universal"
91,90183,0.338623921418433,"0.140000000596046","exons","Universal"
66,90249,0.338871741726181,"0.141000002622604","exons","Universal"
63,90312,0.339108297474486,"0.142000004649162","exons","Universal"
114,90426,0.339536350733323,"0.14300000667572","exons","Universal"
76,90502,0.339821719572548,"0.143999993801117","exons","Universal"
70,90572,0.340084559292886,"0.144999995827675","exons","Universal"
67,90639,0.340336134453782,"0.145999997854233","exons","Universal"
90,90729,0.340674071237074,"0.146999999880791","exons","Universal"
62,90791,0.340906872132231,"0.148000001907349","exons","Universal"
82,90873,0.341214770090342,"0.149000003933907","exons","Universal"
80,90953,0.341515158342157,"0.150000005960464","exons","Universal"
82,91035,0.341823056300268,"0.150999993085861","exons","Universal"
75,91110,0.342104670286345,"0.151999995112419","exons","Universal"
91,91201,0.342446361922785,"0.152999997138977","exons","Universal"
87,91288,0.342773034146635,"0.153999999165535","exons","Universal"
65,91353,0.343017099601235,"0.155000001192093","exons","Universal"
66,91419,0.343264919908982,"0.156000003218651","exons","Universal"
86,91505,0.343587837279684,"0.157000005245209","exons","Universal"
64,91569,0.343828147881136,"0.158000007271767","exons","Universal"
57,91626,0.344042174510555,"0.158999994397163","exons","Universal"
79,91705,0.344338807909223,"0.159999996423721","exons","Universal"
72,91777,0.344609157335857,"0.160999998450279","exons","Universal"
84,91861,0.344924565000263,"0.162000000476837","exons","Universal"
78,91939,0.345217443545783,"0.163000002503395","exons","Universal"
74,92013,0.345495302678712,"0.164000004529953","exons","Universal"
53,92066,0.34569430989554,"0.165000006556511","exons","Universal"
79,92145,0.345990943294208,"0.165999993681908","exons","Universal"
56,92201,0.346201215070479,"0.166999995708466","exons","Universal"
53,92254,0.346400222287306,"0.167999997735023","exons","Universal"
46,92300,0.3465729455321,"0.168999999761581","exons","Universal"
60,92360,0.346798236720962,"0.170000001788139","exons","Universal"
57,92417,0.34701226335038,"0.171000003814697","exons","Universal"
49,92466,0.347196251154617,"0.172000005841255","exons","Universal"
42,92508,0.34735395498682,"0.172999992966652","exons","Universal"
71,92579,0.347620549560307,"0.17399999499321","exons","Universal"
62,92641,0.347853350455464,"0.174999997019768","exons","Universal"
82,92723,0.348161248413575,"0.175999999046326","exons","Universal"
71,92794,0.348427842987061,"0.177000001072884","exons","Universal"
93,92887,0.348777044329796,"0.178000003099442","exons","Universal"
56,92943,0.348987316106067,"0.179000005125999","exons","Universal"
57,93000,0.349201342735486,"0.180000007152557","exons","Universal"
77,93077,0.349490466427858,"0.180999994277954","exons","Universal"
59,93136,0.349712002763572,"0.181999996304512","exons","Universal"
52,93188,0.349907255127252,"0.18299999833107","exons","Universal"
54,93242,0.350110017197227,"0.184000000357628","exons","Universal"
48,93290,0.350290250148317,"0.185000002384186","exons","Universal"
