"Freq","Cumul","relative","phastCons","Type","GeneSet"
10,6094,0.235425922348851,"0.130999997258186","exons","Universal"
4,6098,0.235580451999227,"0.131999999284744","exons","Universal"
9,6107,0.235928143712575,"0.133000001311302","exons","Universal"
4,6111,0.236082673362952,"0.13400000333786","exons","Universal"
10,6121,0.236468997488893,"0.135000005364418","exons","Universal"
7,6128,0.236739424377052,"0.136000007390976","exons","Universal"
4,6132,0.236893954027429,"0.136999994516373","exons","Universal"
15,6147,0.237473440216342,"0.137999996542931","exons","Universal"
4,6151,0.237627969866718,"0.138999998569489","exons","Universal"
16,6167,0.238246088468225,"0.140000000596046","exons","Universal"
3,6170,0.238361985706007,"0.141000002622604","exons","Universal"
10,6180,0.238748309831949,"0.142000004649162","exons","Universal"
6,6186,0.238980104307514,"0.14300000667572","exons","Universal"
7,6193,0.239250531195673,"0.143999993801117","exons","Universal"
9,6202,0.239598222909021,"0.144999995827675","exons","Universal"
12,6214,0.240061811860151,"0.145999997854233","exons","Universal"
11,6225,0.240486768398686,"0.146999999880791","exons","Universal"
6,6231,0.240718562874252,"0.148000001907349","exons","Universal"
14,6245,0.24125941665057,"0.149000003933907","exons","Universal"
11,6256,0.241684373189106,"0.150000005960464","exons","Universal"
5,6261,0.241877535252077,"0.150999993085861","exons","Universal"
18,6279,0.242572918678771,"0.151999995112419","exons","Universal"
12,6291,0.243036507629901,"0.152999997138977","exons","Universal"
10,6301,0.243422831755843,"0.153999999165535","exons","Universal"
17,6318,0.244079582769944,"0.155000001192093","exons","Universal"
11,6329,0.24450453930848,"0.156000003218651","exons","Universal"
7,6336,0.244774966196639,"0.157000005245209","exons","Universal"
5,6341,0.24496812825961,"0.158000007271767","exons","Universal"
15,6356,0.245547614448522,"0.158999994397163","exons","Universal"
9,6365,0.24589530616187,"0.159999996423721","exons","Universal"
6,6371,0.246127100637435,"0.160999998450279","exons","Universal"
8,6379,0.246436159938188,"0.162000000476837","exons","Universal"
3,6382,0.246552057175971,"0.163000002503395","exons","Universal"
8,6390,0.246861116476724,"0.164000004529953","exons","Universal"
10,6400,0.247247440602666,"0.165000006556511","exons","Universal"
10,6410,0.247633764728607,"0.165999993681908","exons","Universal"
5,6415,0.247826926791578,"0.166999995708466","exons","Universal"
1,6416,0.247865559204172,"0.167999997735023","exons","Universal"
5,6421,0.248058721267143,"0.168999999761581","exons","Universal"
12,6433,0.248522310218273,"0.170000001788139","exons","Universal"
7,6440,0.248792737106432,"0.171000003814697","exons","Universal"
3,6443,0.248908634344215,"0.172000005841255","exons","Universal"
6,6449,0.24914042881978,"0.172999992966652","exons","Universal"
7,6456,0.249410855707939,"0.17399999499321","exons","Universal"
17,6473,0.25006760672204,"0.174999997019768","exons","Universal"
7,6480,0.250338033610199,"0.175999999046326","exons","Universal"
9,6489,0.250685725323546,"0.177000001072884","exons","Universal"
3,6492,0.250801622561329,"0.178000003099442","exons","Universal"
18,6510,0.251497005988024,"0.179000005125999","exons","Universal"
5,6515,0.251690168050995,"0.180000007152557","exons","Universal"
5,6520,0.251883330113966,"0.180999994277954","exons","Universal"
11,6531,0.252308286652501,"0.181999996304512","exons","Universal"
7,6538,0.252578713540661,"0.18299999833107","exons","Universal"
2,6540,0.252655978365849,"0.184000000357628","exons","Universal"
7,6547,0.252926405254008,"0.185000002384186","exons","Universal"
8,6555,0.253235464554761,"0.186000004410744","exons","Universal"
5,6560,0.253428626617732,"0.187000006437302","exons","Universal"
9,6569,0.25377631833108,"0.187999993562698","exons","Universal"
10,6579,0.254162642457021,"0.188999995589256","exons","Universal"
12,6591,0.254626231408151,"0.189999997615814","exons","Universal"
6,6597,0.254858025883716,"0.190999999642372","exons","Universal"
2,6599,0.254935290708905,"0.19200000166893","exons","Universal"
3,6602,0.255051187946687,"0.193000003695488","exons","Universal"
6,6608,0.255282982422252,"0.194000005722046","exons","Universal"
7,6615,0.255553409310411,"0.194999992847443","exons","Universal"
10,6625,0.255939733436353,"0.195999994874001","exons","Universal"
8,6633,0.256248792737106,"0.196999996900558","exons","Universal"
4,6637,0.256403322387483,"0.197999998927116","exons","Universal"
