"","Freq","Cumul","relative","phastCons","Type","GeneSet"
"0.1129999980330471",36,19947,0.612359550561798,"0.112999998033047","promoters","Universal"
"0.1140000000596051",27,19974,0.613188432492172,"0.114000000059605","promoters","Universal"
"0.1150000020861631",28,20002,0.6140480137533,"0.115000002086163","promoters","Universal"
"0.115999996662141",37,20039,0.61518388899122,"0.11599999666214","promoters","Universal"
"0.1169999986886981",25,20064,0.615951372260085,"0.116999998688698","promoters","Universal"
"0.1180000007152561",31,20095,0.616903051513477,"0.118000000715256","promoters","Universal"
"0.1190000027418141",36,20131,0.618008227420642,"0.119000002741814","promoters","Universal"
"0.1199999973177911",39,20170,0.619205501320071,"0.119999997317791","promoters","Universal"
"0.1209999993443491",34,20204,0.620249278565727,"0.120999999344349","promoters","Universal"
"0.1220000013709071",37,20241,0.621385153803647,"0.122000001370907","promoters","Universal"
"0.1230000033974651",31,20272,0.622336833057039,"0.123000003397465","promoters","Universal"
"0.1239999979734421",22,20294,0.62301221833364,"0.123999997973442","promoters","Universal"
"0.1251",36,20330,0.624117394240806,"0.125","promoters","Universal"
"0.1260000020265581",27,20357,0.624946276171179,"0.126000002026558","promoters","Universal"
"0.1270000040531161",35,20392,0.62602075274759,"0.127000004053116","promoters","Universal"
"0.1280000060796741",27,20419,0.626849634677964,"0.128000006079674","promoters","Universal"
"0.128999993205071",25,20444,0.627617117946829,"0.12899999320507","promoters","Universal"
"0.1299999952316281",36,20480,0.628722293853994,"0.129999995231628","promoters","Universal"
"0.1309999972581861",33,20513,0.629735371768895,"0.130999997258186","promoters","Universal"
"0.1319999992847441",32,20545,0.630717750353042,"0.131999999284744","promoters","Universal"
"0.1330000013113021",33,20578,0.631730828267944,"0.133000001311302","promoters","Universal"
"0.134000003337861",29,20607,0.632621108859827,"0.13400000333786","promoters","Universal"
"0.1350000053644181",29,20636,0.63351138945171,"0.135000005364418","promoters","Universal"
"0.1360000073909761",26,20662,0.634309572051329,"0.136000007390976","promoters","Universal"
"0.1369999945163731",31,20693,0.635261251304722,"0.136999994516373","promoters","Universal"
"0.1379999965429311",19,20712,0.635844538589059,"0.137999996542931","promoters","Universal"
